time,strategy,symbol,side,timeframe,setup_type,entry,stop,tp1,tp2,tp3,planned_rr,trigger,status,last_checked
2026-09-19T11:14:37.164638+00:00,CREAMER_CRYPTO,LAB-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.05264,0.0536298571429,0.0514026785714,0.0506602857143,0.0496704285714,2,"failed auction/reclaim, displacement, volume confirmation | score 4",STOP,2026-09-19T12:44:49.350601+00:00
2026-09-19T11:14:40.660122+00:00,CREAMER_CRYPTO,HBAR-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.08018,0.0807514285714,0.0794657142857,0.0790371428571,0.0784657142857,2,"absorption proxy, reaction candle, volume confirmation | score 4",STOP,2026-09-19T12:18:55.132150+00:00
2026-09-19T11:14:49.274727+00:00,CURRENT,PONS-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,0.6494,0.683463571429,0.606820535714,0.581272857143,0.547209285714,2,Bearish candle + 15m structure/momentum,TP2,2026-09-20T08:55:34.630125+00:00
2026-09-19T11:14:56.595427+00:00,CREAMER_CRYPTO,ESP-USDT-SWAP,LONG,1h/30m/15m,VAL/discount rejection | 1H env=LONG L5/S0 | location score 4,0.09527,0.0927675,0.098398125,0.100275,0.1027775,2,"failed auction/reclaim, reaction candle, displacement | score 4",STOP,2026-09-19T16:29:47.754519+00:00
2026-09-19T11:15:07.881469+00:00,CREAMER_CRYPTO,PNUT-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.05298,0.0533952142857,0.0524609821429,0.0521495714286,0.0517343571429,2,"absorption proxy, reaction candle, volume confirmation | score 4",STOP,2026-09-19T14:28:52.390657+00:00
2026-09-19T11:28:03.505422+00:00,CREAMER_CRYPTO,ZIL-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.003179,0.0032001,0.003152625,0.0031368,0.0031157,2,"absorption proxy, reaction candle, volume confirmation | score 4",STOP,2026-09-19T11:53:09.516577+00:00
2026-09-19T11:28:18.743500+00:00,CURRENT,GPS-USDT-SWAP,LONG,1h/30m/15m,Liquidity Sweep/Reclaim,0.010956,0.0107976285714,0.0111539642857,0.0112727428571,0.0114311142857,2,Bullish candle + 15m structure/momentum,STOP,2026-09-19T15:13:46.211022+00:00
2026-09-19T11:40:42.629598+00:00,CREAMER_CRYPTO,PENGU-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.008003,0.00804888571429,0.00794564285714,0.00791122857143,0.00786534285714,2,"absorption proxy, reaction candle, volume confirmation | score 4",TP3,2026-09-19T13:53:10.886004+00:00
2026-09-19T12:19:12.567921+00:00,CREAMER_CRYPTO,PEOPLE-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.009165,0.00924216428571,0.00906854464286,0.00901067142857,0.00893350714286,2,"absorption proxy, reaction candle, volume confirmation | score 4",TP2_THEN_STOP,2026-09-19T17:26:19.767850+00:00
2026-09-19T12:19:50.047725+00:00,CREAMER_CRYPTO,BIGTIME-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.008261,0.00843715714286,0.00804080357143,0.00790868571429,0.00773252857143,2,"absorption proxy, failed auction/reclaim, reaction candle, volume confirmation | score 6",STOP,2026-09-20T00:22:11.096284+00:00
